Date,Close
10/14/2014,56.33
10/15/2014,54.73
10/16/2014,53.43
10/17/2014,54.02
10/20/2014,54.05
10/21/2014,55.13
10/22/2014,55.51
10/23/2014,56.63
10/24/2014,57.61
10/27/2014,56.45
10/28/2014,55.85
10/29/2014,56.2
10/30/2014,57.31
10/31/2014,57.94
11/3/2014,58.92
11/4/2014,59.37
11/5/2014,59.57
11/6/2014,59.26
11/7/2014,59.34
11/10/2014,58.81
11/11/2014,59.37
11/12/2014,59.31
11/13/2014,59.54
11/14/2014,59.07
11/17/2014,59.46
11/18/2014,59.89
11/19/2014,59.64
11/20/2014,59.38
11/21/2014,59.66
11/24/2014,59.25
11/25/2014,59.34
11/26/2014,59.75
11/28/2014,60.4
12/1/2014,60.52
12/2/2014,60.78
12/3/2014,60.58
12/4/2014,60.92
12/5/2014,61.49
12/8/2014,61.88
12/9/2014,60.01
12/10/2014,59.98
12/11/2014,59.34
12/12/2014,57.72
12/15/2014,56.95
12/16/2014,56.8
12/17/2014,57.63
12/18/2014,58.98
12/19/2014,59.58
12/22/2014,58.96
12/23/2014,57.21
12/24/2014,57.46
12/26/2014,57.78
12/29/2014,57.73
12/30/2014,57.65
12/31/2014,56.79
1/2/2015,57.19
1/5/2015,58.04
1/6/2015,60.32
1/7/2015,61.61
1/8/2015,62.85
1/9/2015,62.56
1/12/2015,62.3
1/13/2015,62.19
1/14/2015,62.64
1/15/2015,61.88
1/16/2015,63.03
1/20/2015,62.61
1/21/2015,62.16
1/22/2015,62.59
1/23/2015,62.49
1/26/2015,62.82
1/27/2015,62.56
1/28/2015,61.45
1/29/2015,62.09
1/30/2015,60.28
2/2/2015,60.88
2/3/2015,61.02
2/4/2015,59.05
2/5/2015,59.17
2/6/2015,58.79
2/9/2015,58.33
2/10/2015,58.85
2/11/2015,58.74
2/12/2015,58.88
2/13/2015,58.81
2/17/2015,58.79
2/18/2015,58.8
2/19/2015,58.3
2/20/2015,58.35
2/23/2015,58.3
2/24/2015,58.36
2/25/2015,58.49
